Student,Agriculture,Arts Design and Culture,Climate change,Education,Governance,Healthcare,Infrastructure,Job creation,Natural resource management,Regional integration,Tourism,Urbanization,Wildlife conservation,Women empowerment
S1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
S2,1,1,0,0,0,0,0,1,0,0,0,0,0,0
S3,1,0,1,0,0,0,0,0,0,0,0,1,0,0
S4,0,0,0,0,1,0,0,1,0,1,0,0,0,0
S5,0,0,0,0,0,0,1,1,0,0,0,0,0,0
S6,1,0,0,0,0,0,0,1,1,0,0,0,0,0
S7,0,0,0,0,1,0,0,0,0,0,0,0,0,0
S8,0,0,1,0,0,1,0,0,1,0,0,0,0,0
S9,0,0,1,0,0,0,0,1,0,0,0,0,1,0
S10,0,0,1,1,1,0,0,0,0,0,0,0,0,0
S11,0,0,0,0,1,0,0,0,0,0,1,0,1,0
S12,1,0,1,0,0,0,0,0,0,0,0,0,1,0
S13,0,0,0,1,0,1,0,0,0,0,0,0,0,0
S14,0,0,0,0,1,0,0,1,0,0,0,0,0,1
S15,0,0,0,0,0,0,0,1,1,0,0,0,1,0
S16,1,0,0,1,0,1,0,0,0,0,0,0,0,0
S17,0,0,0,1,1,0,0,1,0,0,0,0,0,0
S18,0,0,0,1,0,0,0,1,0,0,0,0,0,0
S19,0,1,0,1,0,0,0,1,0,0,0,0,0,0
S20,0,0,0,0,0,1,0,1,1,0,0,0,0,0
S21,0,0,1,0,0,0,0,0,0,0,0,1,1,0
S22,0,0,0,0,0,0,0,1,0,0,1,0,1,0
S23,0,1,0,1,0,0,0,1,0,0,0,0,0,0
S24,1,0,1,0,0,0,0,0,1,0,0,0,0,0
S25,1,0,1,1,0,0,0,0,0,0,0,0,0,0
S26,0,0,1,0,0,0,0,1,0,1,0,0,0,0
S27,0,0,1,0,0,0,0,1,0,0,0,0,0,1
S28,1,0,0,1,0,0,0,1,0,0,0,0,0,0
S29,0,0,1,1,0,0,0,0,0,0,0,0,1,0
S30,1,0,0,0,1,0,0,1,0,0,0,0,0,0
S31,1,0,1,0,0,0,0,0,0,0,0,0,0,1
S32,0,0,1,0,0,0,0,1,0,0,0,1,0,0
S33,0,1,0,1,0,0,0,1,0,0,0,0,0,0
S34,0,1,0,1,0,1,0,0,0,0,0,0,0,0
S35,1,0,0,0,1,0,0,1,0,0,0,0,0,0
S36,0,0,0,1,0,1,0,0,0,0,0,0,1,0
S37,0,0,0,0,1,0,0,1,1,0,0,0,0,0
S38,0,0,0,1,0,0,0,1,0,0,0,0,0,1
S39,1,0,1,0,0,0,0,0,0,0,0,0,1,0
S40,0,0,0,0,0,0,0,1,0,0,0,0,0,1
S41,0,1,0,1,0,0,0,0,0,0,0,0,0,1
S42,1,0,0,0,0,0,0,1,1,0,0,0,0,0
S43,0,0,0,0,0,0,0,1,1,1,0,0,0,0
S44,0,0,0,0,0,1,0,1,0,0,0,0,1,0
S45,1,0,0,1,0,0,0,1,0,0,0,0,0,0
S46,0,0,0,1,0,1,0,1,0,0,0,0,0,0
S47,0,0,0,1,1,0,0,1,0,0,0,0,0,0
S48,0,0,0,0,1,0,1,0,0,0,0,1,0,0
S49,0,0,0,1,0,0,0,1,1,0,0,0,0,0
S50,0,0,0,0,0,0,0,1,0,0,0,0,0,1
S51,0,0,0,1,0,0,0,1,0,0,1,0,0,0
S52,0,0,0,0,0,0,1,1,0,0,1,0,0,0
S53,0,0,1,0,0,0,0,0,0,0,1,0,1,0
S54,1,0,0,0,0,0,0,0,0,0,0,0,1,1
S55,0,0,0,0,0,0,0,1,0,0,0,1,0,0
S56,0,0,0,1,0,1,0,1,0,0,0,0,0,0
S57,0,0,0,1,0,1,0,1,0,0,0,0,0,0
S58,1,0,0,0,0,0,0,1,1,0,0,0,0,0
S59,0,0,0,0,1,0,0,1,0,0,0,0,0,0
S60,0,0,0,1,0,0,0,1,0,0,0,0,0,0
S61,0,0,0,0,0,0,0,1,0,0,0,0,0,1
S62,0,0,0,0,0,0,0,1,0,0,1,0,1,0
S63,0,0,0,0,0,0,0,1,0,0,0,0,0,0
S64,1,0,0,0,0,0,0,1,0,1,0,0,0,0
S65,0,0,0,0,0,0,1,1,0,0,0,1,0,0
S66,0,0,0,0,0,0,0,0,1,1,0,1,0,0
S67,0,0,0,0,1,0,0,1,0,0,0,0,0,1
S68,0,1,0,0,0,0,0,1,0,0,1,0,0,0
S69,0,0,0,0,1,1,0,0,0,1,0,0,0,0
S70,0,1,0,1,0,0,0,0,0,1,0,0,0,0
S71,0,0,0,1,1,0,0,0,0,0,0,0,0,0
S72,0,0,0,1,0,1,0,1,0,0,0,0,0,0
S73,1,0,0,0,0,1,0,0,0,0,0,0,1,0
S74,0,0,0,0,0,0,0,1,1,0,0,0,1,0
S75,0,0,0,1,0,0,0,1,0,0,0,0,0,1
S76,0,1,0,0,0,0,0,1,0,0,0,0,1,0
S77,0,0,0,1,0,0,0,1,0,0,0,0,0,0
S78,0,0,0,0,0,0,0,1,0,0,0,1,0,0
S79,0,0,0,1,0,0,0,1,1,0,0,0,0,0
S80,0,0,0,1,0,0,0,1,1,0,0,0,0,0
S81,0,0,0,1,0,1,0,1,0,0,0,0,0,0
S82,0,0,0,1,0,1,0,0,0,0,0,0,0,1
S83,0,0,0,1,0,0,0,1,0,0,0,0,0,1
S84,0,0,0,0,0,0,0,0,1,0,1,0,1,0
S85,0,0,0,1,0,0,0,1,0,0,0,0,0,0
S86,0,0,0,1,0,0,0,1,0,0,1,0,0,0
S87,0,0,1,0,0,0,0,1,0,0,0,0,1,0
S88,0,1,0,1,0,0,0,1,0,0,0,0,0,0
S89,1,0,0,0,0,1,0,0,0,0,0,0,1,0
S90,0,1,0,1,0,0,0,1,0,0,0,0,0,0
S91,0,0,1,0,0,0,1,0,0,0,0,1,0,0
S92,0,0,0,0,1,0,0,0,0,1,0,0,0,1
S93,0,0,0,1,1,0,0,0,0,0,0,0,0,1
S94,0,0,0,1,0,0,0,1,0,0,0,0,0,0
S95,0,0,0,1,0,0,0,0,0,0,0,0,1,1
S96,0,0,0,1,1,0,0,0,0,1,0,0,0,0
S97,0,0,1,1,0,1,0,0,0,0,0,0,0,0
S98,0,0,0,1,0,1,1,0,0,0,0,0,0,0
S99,0,0,1,0,0,0,0,1,0,0,0,0,0,1
S100,0,0,0,0,0,1,0,1,0,0,0,0,0,1
S101,0,0,0,0,0,0,1,1,1,0,0,0,0,0
S102,0,0,0,1,0,0,0,1,0,0,0,0,0,1
S103,1,0,0,0,0,0,0,0,1,0,0,0,1,0
S104,0,1,1,1,0,0,0,0,0,0,0,0,0,0
S105,0,0,0,1,0,0,0,0,0,1,0,0,0,1
S106,0,0,0,1,1,0,0,0,0,1,0,0,0,0
S107,0,1,0,0,0,0,0,1,0,0,0,0,0,0
S108,0,0,0,0,1,1,0,0,0,0,0,0,0,1
S109,0,0,0,0,0,0,1,0,1,0,0,1,0,0
S110,1,0,0,0,0,1,0,1,0,0,0,0,0,0
S111,1,0,0,0,0,0,0,1,1,0,0,0,0,0
S112,0,0,0,1,0,0,0,1,0,0,0,0,1,0
S113,1,0,1,0,0,1,0,0,0,0,0,0,0,0
S114,0,0,0,1,0,0,0,1,0,0,0,0,0,1
S115,0,0,0,1,0,1,0,1,0,0,0,0,0,0
S116,0,0,0,0,0,1,0,0,0,0,0,0,1,0
S117,0,0,1,0,0,0,0,0,1,0,1,0,0,0
S118,0,0,0,1,0,0,0,0,0,0,0,0,0,1
S119,0,0,0,1,0,1,0,0,0,0,0,0,0,1
S120,0,0,0,1,1,0,0,0,0,1,0,0,0,0
S121,0,0,0,1,0,0,0,1,0,0,0,0,0,1
S122,1,0,0,0,0,0,0,1,0,0,1,0,0,0
S123,0,1,0,0,0,0,0,1,0,0,0,0,1,0
S124,0,0,0,0,0,0,1,1,0,0,0,1,0,0
S125,0,0,0,1,1,0,0,1,0,0,0,0,0,0
S126,0,0,0,0,0,0,0,1,0,0,0,0,0,0
S127,0,0,1,1,0,1,0,0,0,0,0,0,0,0
S128,0,0,0,1,0,0,0,1,0,0,0,0,0,1
S129,0,0,1,0,1,0,0,0,0,1,0,0,0,0
S130,0,0,0,1,0,0,0,0,0,0,0,0,0,1
S131,0,0,0,0,0,0,0,0,1,0,0,0,1,1
S132,0,0,0,0,0,0,0,1,0,1,0,0,0,0
S133,0,0,0,0,1,0,0,0,0,1,0,0,0,1
S134,1,0,0,0,0,0,0,1,1,0,0,0,0,0
S135,0,1,0,0,0,0,0,0,0,0,1,0,0,1
S136,0,0,0,1,1,0,1,0,0,0,0,0,0,0
S137,1,0,0,0,0,0,0,1,1,0,0,0,0,0
S138,0,0,0,1,0,0,0,0,0,0,0,0,0,1
S139,0,0,0,1,0,0,0,1,0,1,0,0,0,0
S140,1,0,1,0,0,0,0,0,1,0,0,0,0,0
S141,0,1,0,0,0,0,1,0,0,0,0,0,0,1
S142,0,0,0,0,1,0,0,0,1,0,0,0,0,0
S143,0,0,0,1,0,0,0,1,0,0,0,0,0,1
S144,0,0,0,0,0,0,0,1,0,0,0,0,0,0
S145,0,1,0,0,1,0,0,0,0,0,0,0,0,1
S146,0,0,0,0,1,0,0,0,0,0,0,0,0,0
S147,0,0,0,1,0,0,0,1,0,0,0,0,0,1
S148,0,0,0,1,1,1,0,0,0,0,0,0,0,0
S149,0,0,0,1,0,0,0,0,0,0,0,1,0,1
S150,1,0,1,0,0,0,0,0,1,0,0,0,0,0
S151,0,0,0,0,0,0,0,0,0,0,0,0,1,0
S152,0,0,0,1,0,0,0,0,0,0,0,0,0,0
S153,0,0,1,1,0,0,0,1,0,0,0,0,0,0
S154,0,0,1,0,0,0,0,0,0,0,0,0,0,0
S155,0,0,0,1,1,0,0,0,0,0,0,0,0,1
S156,1,0,0,1,0,1,0,0,0,0,0,0,0,0
S157,0,0,0,0,1,0,0,1,0,0,0,0,0,1
S158,0,0,0,0,0,0,1,1,0,1,0,0,0,0
S159,1,1,0,0,0,0,0,0,0,0,0,0,1,0
S160,0,0,0,1,0,0,0,1,0,0,0,0,0,1
S161,0,1,0,0,0,0,0,1,1,0,0,0,0,0
S162,0,0,0,0,0,0,1,1,0,0,0,1,0,0
S163,0,1,0,0,0,1,0,1,0,0,0,0,0,0
S164,0,0,0,1,0,0,0,1,0,0,0,0,0,1
S165,0,0,0,0,0,1,0,1,0,0,1,0,0,0
S166,0,0,0,1,1,0,0,1,0,0,0,0,0,0
S167,0,0,1,0,0,0,0,0,1,0,0,0,0,0
S168,0,0,0,0,0,0,0,1,0,0,0,0,1,1
S169,0,1,0,0,0,0,0,0,0,0,0,0,0,0
S170,0,0,0,0,0,0,0,1,1,1,0,0,0,0
S171,0,0,0,1,1,0,0,0,0,0,0,0,0,0
S172,0,0,0,1,0,0,0,1,0,0,0,0,0,1
S173,0,0,1,0,0,1,0,0,0,0,0,0,1,0
S174,0,0,0,1,0,0,0,1,0,0,0,0,0,0
S175,0,0,0,1,0,1,0,0,0,0,0,0,1,0
S176,0,0,0,1,1,1,0,0,0,0,0,0,0,0
S177,0,0,0,0,0,0,0,1,0,0,1,0,0,0
S178,0,0,1,0,0,0,0,0,1,0,0,0,0,0
S179,0,0,0,1,1,0,0,1,0,0,0,0,0,0
S180,0,0,1,0,1,0,0,0,0,0,1,0,0,0
S181,1,0,0,0,0,0,0,1,1,0,0,0,0,0
S182,0,0,0,1,1,0,0,0,0,0,0,0,0,1
S183,1,0,1,0,0,0,0,1,0,0,0,0,0,0
S184,0,0,1,0,0,1,0,0,0,0,0,0,1,0
S185,0,1,1,0,0,0,0,0,0,0,0,0,0,1
S186,0,0,0,0,1,0,0,1,0,0,0,0,0,0
S187,0,0,0,1,0,0,0,1,0,0,0,0,0,0
S188,0,0,0,1,0,0,0,0,0,0,0,0,0,0
S189,0,0,0,1,1,1,0,0,0,0,0,0,0,0
S190,0,0,0,0,0,1,0,0,0,0,0,0,0,1
S191,1,0,0,0,0,0,0,1,0,0,0,0,0,1
S192,1,0,0,0,0,0,0,1,0,0,0,0,0,1
S193,0,0,0,1,0,0,0,1,0,0,0,0,1,0
S194,0,0,0,1,0,0,0,1,1,0,0,0,0,0
S195,0,0,1,0,0,0,0,1,0,0,0,0,0,1
S196,0,0,0,1,0,0,0,1,0,0,0,0,1,0
S197,0,0,0,1,1,1,0,0,0,0,0,0,0,0
S198,0,0,0,1,0,0,1,1,0,0,0,0,0,0
S199,0,0,0,0,1,0,0,1,0,0,0,0,0,0
S200,1,0,0,0,1,0,0,1,0,0,0,0,0,0
S201,0,0,0,0,0,1,0,0,0,0,1,0,1,0
S202,0,0,0,0,1,0,0,0,0,1,0,0,0,1
S203,0,0,0,1,0,1,0,0,0,0,0,0,1,0
S204,0,1,0,0,0,1,0,1,0,0,0,0,0,0
S205,1,0,1,0,0,0,0,1,0,0,0,0,0,0
S206,0,0,1,0,0,0,0,0,0,1,0,0,1,0
S207,1,0,0,0,0,1,0,0,0,0,0,0,0,0
S208,0,0,0,0,0,0,0,1,1,0,0,0,1,0
S209,1,0,1,0,0,0,0,0,0,0,0,0,1,0
S210,0,0,0,0,0,0,0,1,0,1,0,0,0,1
S211,0,0,0,0,0,0,0,0,0,0,0,1,1,0
S212,0,1,1,0,0,0,0,0,0,0,0,0,1,0
S213,0,0,0,0,1,0,1,0,0,0,0,1,0,0
S214,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S215,0,0,0,1,1,0,0,1,0,0,0,0,0,0
S216,0,0,0,1,0,0,0,1,0,0,0,0,0,0
S217,0,1,0,0,0,0,0,0,0,0,0,0,1,0
S218,1,0,0,0,0,0,0,1,0,0,0,0,0,1
S219,0,0,0,0,0,0,0,1,0,1,1,0,0,0